# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:29.058,1816,-18132,1528,-3458,-968,1557,1295
2026-01-12 17:15:29.071,1840,-17924,1512,-3052,-243,1297,1289
2026-01-12 17:15:29.083,1264,-17576,1976,-2550,453,1196,1289
2026-01-12 17:15:29.099,-160,-17396,2772,-1955,660,1322,1296
2026-01-12 17:15:29.112,-404,-15740,2108,-1254,1055,1953,1286
2026-01-12 17:15:29.124,-88,-16976,2372,-711,1413,2449,1292
2026-01-12 17:15:29.136,-660,-15488,2356,-467,1659,2305,1292
2026-01-12 17:15:29.152,-1452,-15560,2832,-680,1570,2382,1290
2026-01-12 17:15:29.165,-2196,-15628,3388,-925,578,2456,1300
2026-01-12 17:15:29.177,-2096,-15512,2744,-1334,-996,2426,1287
2026-01-12 17:15:29.190,-544,-15824,1440,-1838,-2336,2285,1298
2026-01-12 17:15:29.205,816,-15852,856,-2019,-2705,2149,1295
2026-01-12 17:15:29.219,2156,-15884,-580,-1993,-2135,2154,1293
2026-01-12 17:15:29.230,2488,-16492,-156,-1626,-614,2210,1304
2026-01-12 17:15:29.243,1788,-16268,448,-1140,594,1970,1293
2026-01-12 17:15:29.255,856,-16348,868,-645,1096,1458,1296
2026-01-12 17:15:29.271,1032,-16440,176,-182,1184,918,1287
2026-01-12 17:15:29.284,1584,-15980,172,94,1313,774,1291
2026-01-12 17:15:29.296,2360,-15892,-360,165,1625,778,1281
2026-01-12 17:15:29.308,3028,-15728,540,27,2048,603,1295
2026-01-12 17:15:29.321,2744,-16036,420,-301,1638,844,1305
2026-01-12 17:15:29.337,2180,-16304,-36,-671,1145,1366,1291
2026-01-12 17:15:29.349,2080,-15852,-920,-1004,563,1505,1290
2026-01-12 17:15:29.362,1784,-15900,-1416,-1335,371,1188,1292
2026-01-12 17:15:29.374,1404,-16324,-1992,-1764,777,101,1291
2026-01-12 17:15:29.390,480,-17548,-2500,-2029,1316,-859,1294
2026-01-12 17:15:29.402,120,-17616,-2872,-2325,2251,-1453,1301
2026-01-12 17:15:29.415,-744,-16572,-1220,-2606,1913,-1345,1287
2026-01-12 17:15:29.427,-1728,-16980,-1644,-3168,539,-773,1291
2026-01-12 17:15:29.443,-1272,-17040,-3572,-3158,-560,-278,1285
2026-01-12 17:15:29.456,720,-16264,-4840,-2492,-406,250,1290
2026-01-12 17:15:29.468,1152,-15432,-5924,-1706,576,820,1296
2026-01-12 17:15:29.480,632,-15864,-6100,-1142,2095,1243,1290
2026-01-12 17:15:29.493,-32,-16292,-5112,-899,3123,1297,1291
2026-01-12 17:15:29.509,-28,-16532,-6088,-984,3445,1356,1284
2026-01-12 17:15:29.521,-824,-16288,-3672,-1039,3051,1376,1292
2026-01-12 17:15:29.534,-1940,-16968,-2016,-1229,1839,1169,1290
2026-01-12 17:15:29.546,-1356,-17324,-1476,-1341,107,1141,1279
2026-01-12 17:15:29.562,-552,-16948,-2156,-1151,-917,1194,1299
2026-01-12 17:15:29.574,-452,-16916,-3672,-754,-1122,1257,1290
2026-01-12 17:15:29.587,-332,-17260,-4624,-169,-603,1252,1301
2026-01-12 17:15:29.599,-788,-17160,-4472,365,-206,1050,1295
2026-01-12 17:15:29.615,-868,-16688,-4148,560,-157,723,1297
2026-01-12 17:15:29.628,-856,-16260,-3508,643,-214,552,1292
2026-01-12 17:15:29.640,-464,-16140,-3508,605,-349,660,1302
2026-01-12 17:15:29.652,-128,-16232,-3836,521,-374,748,1302
2026-01-12 17:15:29.665,408,-16220,-3952,433,-255,724,1295
2026-01-12 17:15:29.681,-64,-16072,-3768,279,-128,708,1294
2026-01-12 17:15:29.693,-764,-16188,-3688,407,-236,548,1294
2026-01-12 17:15:29.706,-1076,-15228,-4544,718,-419,333,1289
2026-01-12 17:15:29.718,-1124,-15336,-3904,939,-362,444,1304
2026-01-12 17:15:29.730,-1168,-15808,-3576,947,-361,621,1296
2026-01-12 17:15:29.746,-1552,-17220,-2236,707,-604,549,1287
2026-01-12 17:15:29.759,-800,-16556,-2548,548,-991,217,1298
2026-01-12 17:15:29.771,-68,-17532,-3944,717,-1091,183,1298
2026-01-12 17:15:29.783,20,-17084,-4076,1083,-637,228,1297
2026-01-12 17:15:29.796,56,-17324,-3364,1316,-101,238,1297
2026-01-12 17:15:29.812,-180,-16472,-3044,1341,292,62,1296
2026-01-12 17:15:29.824,-672,-16968,-1840,1091,456,-82,1293
2026-01-12 17:15:29.837,-1124,-16720,-1132,891,394,-165,1299
2026-01-12 17:15:29.849,-1000,-16972,-728,732,141,-23,1290
2026-01-12 17:15:29.865,-1132,-16656,-740,525,-158,83,1290
2026-01-12 17:15:29.877,-1224,-16616,-660,287,-449,52,1299
2026-01-12 17:15:29.890,-1080,-16088,-896,203,-720,-91,1298
2026-01-12 17:15:29.902,-704,-15688,-584,136,-785,-118,1308
2026-01-12 17:15:29.915,-936,-15556,-776,51,-915,-197,1304
2026-01-12 17:15:29.927,-624,-16024,-668,-3,-827,-242,1297
2026-01-12 17:15:29.943,-656,-16228,-284,57,-560,-240,1305
2026-01-12 17:15:29.955,-640,-16400,-524,234,-209,-155,1296
2026-01-12 17:15:29.968,-904,-15868,964,272,83,44,1294
2026-01-12 17:15:29.980,-1268,-15704,1220,86,-12,140,1304
2026-01-12 17:15:29.992,-880,-15904,848,-248,-220,136,1291
2026-01-12 17:15:30.008,-1056,-16248,572,-317,-229,117,1289
2026-01-12 17:15:30.021,-1068,-16132,328,-138,-216,162,1294
2026-01-12 17:15:30.033,-1108,-15872,144,35,-36,258,1306
2026-01-12 17:15:30.046,-1308,-15684,-212,100,226,303,1295
2026-01-12 17:15:30.058,-1180,-15896,28,74,461,271,1291
2026-01-12 17:15:30.074,-908,-15896,420,-162,470,217,1305
2026-01-12 17:15:30.086,-1116,-16424,984,-443,346,180,1297
2026-01-12 17:15:30.099,-796,-16576,568,-563,147,88,1303
2026-01-12 17:15:30.111,-952,-17024,-192,-601,-69,95,1308
2026-01-12 17:15:30.123,-592,-17508,-956,-569,-103,221,1295
2026-01-12 17:15:30.136,-208,-16792,-68,-457,350,256,1294
2026-01-12 17:15:30.152,-808,-18016,-52,-316,718,328,1300
2026-01-12 17:15:30.164,-536,-18116,104,79,1168,217,1297
2026-01-12 17:15:30.177,-1332,-18360,612,407,1483,149,1298
2026-01-12 17:15:30.189,-1948,-18028,1068,554,1308,-10,1294
2026-01-12 17:15:30.201,-2236,-17384,1436,467,805,-39,1303
2026-01-12 17:15:30.217,-1832,-16764,1188,232,193,-74,1295
2026-01-12 17:15:30.230,-624,-17024,-444,160,-254,-40,1296
2026-01-12 17:15:30.242,8,-16968,-2004,442,-3,60,1305
2026-01-12 17:15:30.254,120,-16460,-2304,760,499,-120,1305
2026-01-12 17:15:30.267,400,-16172,-1980,953,989,-236,1304
2026-01-12 17:15:30.283,36,-15604,-1956,992,1385,-179,1290
2026-01-12 17:15:30.295,-44,-15648,-1452,820,1632,-69,1300
2026-01-12 17:15:30.308,256,-16320,-1540,737,1840,141,1304
2026-01-12 17:15:30.320,416,-16716,-1132,780,2186,324,1293
2026-01-12 17:15:30.332,120,-16984,-1312,849,2475,273,1301
2026-01-12 17:15:30.348,-420,-16848,-1196,890,2554,163,1295
2026-01-12 17:15:30.361,-912,-16856,-1300,1030,2422,86,1299
2026-01-12 17:15:30.373,-832,-16276,-1432,1237,2181,26,1292
2026-01-12 17:15:30.386,-836,-15760,-940,1122,1853,50,1302
2026-01-12 17:15:30.402,-1084,-15420,-1432,761,1412,125,1298
2026-01-12 17:15:30.414,-1644,-15348,-1748,386,1025,-85,1291
2026-01-12 17:15:30.426,-1168,-15988,-1884,188,843,-161,1294
2026-01-12 17:15:30.439,-1056,-15916,-1932,107,846,-150,1295
2026-01-12 17:15:30.451,-872,-15744,-1844,-11,947,-237,1294
2026-01-12 17:15:30.467,-1080,-15960,-1408,-133,965,-259,1295
2026-01-12 17:15:30.480,-1144,-16280,-1252,-164,886,-176,1299
2026-01-12 17:15:30.492,-1296,-16420,-1124,-155,740,-201,1300
2026-01-12 17:15:30.504,-1180,-16580,-1048,-111,501,-207,1295
2026-01-12 17:15:30.520,-1144,-16580,-1160,-66,320,-202,1295
2026-01-12 17:15:30.533,-636,-16492,-972,-46,259,-223,1291
2026-01-12 17:15:30.545,-904,-16436,-856,-105,229,-227,1299
2026-01-12 17:15:30.558,-1632,-16340,-596,-207,50,-273,1295
2026-01-12 17:15:30.570,-1704,-16044,-392,-320,-226,-222,1304
2026-01-12 17:15:30.586,-1156,-16184,-580,-496,-354,-107,1294
2026-01-12 17:15:30.598,-196,-16836,-1276,-472,-241,-19,1300
2026-01-12 17:15:30.611,-312,-16524,-1212,-321,164,26,1298
2026-01-12 17:15:30.623,-740,-16516,-736,-197,431,-10,1297
2026-01-12 17:15:30.635,-1008,-16216,260,-170,470,25,1293
2026-01-12 17:15:30.648,-1484,-15852,144,-271,183,36,1296
2026-01-12 17:15:30.664,-1092,-16372,-264,-359,-70,80,1301
2026-01-12 17:15:30.676,-816,-16656,-260,-333,-267,67,1302
2026-01-12 17:15:30.688,-748,-15956,-872,-244,-438,50,1301
2026-01-12 17:15:30.701,-764,-16112,-1376,-283,-413,95,1291
2026-01-12 17:15:30.713,-168,-16020,-1484,-401,-193,231,1286
2026-01-12 17:15:30.729,140,-16792,-980,-402,195,298,1297
2026-01-12 17:15:30.742,-8,-17000,-1040,-107,549,246,1297
2026-01-12 17:15:30.754,-252,-16764,-612,10,731,169,1299
2026-01-12 17:15:30.766,-844,-16928,-308,71,764,146,1296
2026-01-12 17:15:30.779,-908,-16572,-228,129,660,99,1304
2026-01-12 17:15:30.791,-1404,-16156,64,69,454,-61,1291
2026-01-12 17:15:30.807,-1268,-15668,156,-181,95,-161,1299
2026-01-12 17:15:30.819,-1344,-15704,4,-475,-249,-195,1300
2026-01-12 17:15:30.832,-1364,-16096,-424,-771,-663,-305,1287
2026-01-12 17:15:30.844,-752,-16288,-1104,-865,-922,-399,1301
